form	lemma	POS	morph
རྒྱུ་	རྒྱུ་	NOUN
དང་	དང་	NO_POS
ཉེས་པ་	ཉེས་པ་	VERB
སོགས་	སོགས་	DET
འདི་	འདི་	DET
འོ་	གོ་	PART
ཞེ་	ཅེས་	PART
ཡིད་འབྱུང་	ཡིད་འབྱུང་	OTHER
བ་	བ་	NOUN
བྱ་	བྱ་	VERB
ཏེ་	སྟེ་	PART
དོན་དམ་པ་	དོན་དམ་པ་	NOUN
འི་	གི་	PART
བདེན་པ་	བདེན་པ་	VERB
ལ་	ལ་	PART
འཇུག་	འཇུག་	VERB
ཅེས་པ་	ཅེས་པ་	PART
སྟེ་	སྟེ་	PART
ལུགས་	ལུགས་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འབྱུང་	འབྱུང་	VERB
ཚུལ་	ཚུལ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
དེ་ལས་	དེ་ལས་	NO_POS
ལྡོག་པ་	ལྡོག་པ་	VERB
འི་	གི་	PART
དམིགས་པ་	དམིགས་པ་	VERB
དང་	དང་	NO_POS
དམིགས་པ་	དམིགས་པ་	VERB
དེ་	སྟེ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
རྣམས་	རྣམས་	DET
གསུངས་	གསུངས་	VERB
སོ་	གོ་	PART
"།

།"		PUNCT
ཡང་	ཀྱང་	PART
མདོ་	མདོ་	NOUN
འགྲེལ་	འགྲེལ་	NOUN
དུ་	ལ་	PART
།		PUNCT
མདོ་	མདོ་	NOUN
དེ་	དེ་	DET
འི་	གི་	PART
བཤད་པ་	བཤད་པ་	VERB
འི་	གི་	PART
རྣམ་	རྣམ་	NOUN
གྲངས་	གྲངས་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
ཞིག་	ཅིག་	PART
མཛད་པ་	མཛད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
གྱི་	གི་	PART
ཕུང་པོ་	ཕུང་པོ་	NOUN
སེམས་	སེམས་	NOUN
ལ་	ལ་	PART
བརྟེན་པ་	བརྟེན་པ་	VERB
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
ན་	ནས་	PART
བཤད་ཚུལ་	བཤད་ཚུལ་	VERB
གཉིས་	གཉིས་	NUM
མཛད་	མཛད་	VERB
དེ་	སྟེ་	PART
།		PUNCT
ཞིབ་པ་	ཞིབ་པ་	NOUN
ར་	ལ་	PART
ཟུར་	ཟུར་	NOUN
དུ་	ལ་	PART
